"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol s-1)","GPP (mmol m-2 s-1)","theta0","theta1","theta2","theta3","theta4","RHIZF0 (mmol s-1)","RHIZF1 (mmol s-1)","RHIZF2 (mmol s-1)","RHIZF3 (mmol s-1)","RHIZF4 (mmol s-1)","FinRootC0 (gC m-2 grd)","FinRootC1 (gC m-2 grd)","FinRootC2 (gC m-2 grd)","FinRootC3 (gC m-2 grd)","FinRootC4 (gC m-2 grd)","MicrobN0 (gN m-2 grd)","MicrobN1 (gN m-2 grd)","MicrobN2 (gN m-2 grd)","MicrobN3 (gN m-2 grd)","MicrobN4 (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","SLA (m-2 kgC)","RLA (m2 m-2)","RA0 (m2 m-2","RA1 (m2 m-2)","RA3 (m2 m-2)","RA4 (m2 m-2)","RA4 (m2 m-2)","Reproduction (gC m-2)"
"11",11,0.786938357152679,9.28020000000002,-0.8297165,-0.956517,-1.438845,6.93664237789,24.46615,51.318825,237.0735,52.8383,1.073313621253,1.4390880514225,0.204314041666667,0.202814666666667,0.206292645833333,0.212003,0.310713,0.1550348321087,0.1703287607136,0.656057225886,-2.78994779087e-06,0.0918962296387,7.47138479166667,14.94134,22.41175,4.97997e-06,4.98072,79.3498625,146.594729166667,518.649604166667,28.3635354166667,103.6926875,0.781307791666667,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"12",12,0.561328559349982,9.40780000000002,-0.8573985,-0.975567,-1.30838,6.90272471916,23.931225,50.7457,237.13475,40.7339,0.612495968978,0.680914826956376,0.203511958333333,0.202590479166667,0.205734833333333,0.212003,0.310713,0.0690744471058,0.0640539471518,0.411849130692,-2.48758391794e-06,0.067521577375,7.47139,14.94134,22.41175,4.97997e-06,4.98072,77.9418020833333,144.016625,508.9509375,27.6295979166667,101.856854166667,0.7974840625,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"13",13,0.613848834262911,9.40780000000002,-0.8719535,-0.9822215,-1.366005,6.874883368715,23.452375,50.066875,237.204,47.71775,0.7819704694155,0.985523241076867,0.202996958333333,0.202446270833333,0.2052455,0.212003,0.310713,0.08027876357875,0.10247969382715,0.5173183030265,-2.608226246505e-06,0.0818950798212,7.47139,14.94134,22.41175,4.97997e-06,4.98072,76.5612583333333,141.488916666667,499.4550625,26.92175625,100.064529166667,0.809483,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"14",14,0.706518793887101,9.40780000000002,-0.890775,-0.9988415,-1.509945,6.795915027435,23.295825,49.45935,237.0595,58.5831,1.127340832815,1.4147488463443,0.202458270833333,0.2021093125,0.2046455625,0.212003,0.310713,0.12639674871265,0.1995589200585,0.6944964382445,-2.357794183295e-06,0.1068904883067,7.47139,14.94134,22.41175,4.97997e-06,4.98072,75.21071875,139.015208333333,490.157375,26.2386770833333,98.3011125,0.832833291666667,1.95834,7.6,2.05418,0.121986,0.243955,0.522703,2.48584e-07,0.111356,0
"15",15,0.702076366786055,9.40780000000002,-0.917731,-1.02935,-1.528785,6.70730422237,23.24755,48.989975,236.69075,61.14205,1.174248247207,1.43700952370486,0.2019586875,0.201678395833333,0.203967125,0.212003,0.310713,0.1317272452231,0.212909421036,0.707716558445,-2.26512027106e-06,0.1218975683407,7.47140520833333,14.94134,22.41175,4.97997e-06,4.98072,73.88963125,136.5939375,481.053041666667,25.57901875,96.5680083333333,0.859733145833333,1.95834,7.6,2.05418,0.121986354166667,0.243955,0.522702666666667,2.48584e-07,0.111356,0
"16",16,0.139780311706335,9.40780000000002,-0.939951,-1.0503,-1.125635,6.85884384551,22.821025,48.57625,236.30975,76.30425,0.3305742823015,0.634478048199247,0.2092859375,0.202369,0.203597604166667,0.212004166666667,0.310711604166667,0.16108299104005,0.004871424869365,0.080861133324,-3.482992339635e-06,0.08376310995365,7.47143,14.94134,22.41175,4.97997e-06,4.98072,72.5961354166667,134.222729166667,472.137208333333,24.9416541666667,94.87256875,0.858407958333333,1.95834,7.6,2.05418,0.121987,0.243955,0.522702,2.48584e-07,0.111356,0
"17",17,0.467559301866657,9.40780000000002,-0.8636865,-0.9933335,-1.267945,6.82337725807,22.542425,48.053275,236.13975,49.2019,0.571026639412,0.911261977791568,0.213169958333333,0.2028698125,0.203478375,0.212005,0.310713,0.1862663833422,0.0879261610236,0.2122674683115,-2.61310185421e-06,0.08456887882635,7.47143,14.94134,22.41175,4.97997e-06,4.98072,71.3278083333333,131.897708333333,463.406916666667,24.3250208333333,93.2129229166667,0.855556791666667,1.95834,7.6,2.05418,0.121987,0.243955,0.522702,2.48584e-07,0.111356,0
"18",18,0.512463507276284,9.40780000000002,-0.880907,-1.00489,-1.377925,6.78306482186,22.2519,47.574125,235.83275,60.35275,0.8568327160325,1.24691208794004,0.210543,0.202482791666667,0.2032380625,0.212005,0.310713,0.2414300912195,0.1550821586867,0.3547161715665,-2.54327722511e-06,0.10560684040255,7.471436875,14.94134,22.41175,4.97997e-06,4.98072,70.0836833333333,129.617541666667,454.858125,23.72745,91.5781354166667,0.868990833333333,1.95834,7.6,2.05418,0.121987,0.2439546875,0.522702,2.48584e-07,0.111356,0
"19",19,0.857209182263826,9.40780000000002,-0.908508,-1.023835,-1.632005,6.7051552019,22.61865,47.20605,235.26775,66.43095,1.4674251348815,2.21410091051659,0.206990354166667,0.201771895833333,0.2028100625,0.212005,0.310713,0.350554339701,0.299333998611,0.67600375727,-1.880009884705e-06,0.1415348018029,7.47172916666667,14.94143,22.41175,4.97997e-06,4.98072,68.868675,127.389166666667,446.48775,23.1478354166667,89.9839208333333,0.904641270833333,1.95834,7.6,2.054189375,0.121989708333333,0.243954208333333,0.522699895833333,2.48582875e-07,0.111355479166667,0
"20",20,0.811232528134236,11.1514,-0.958904,-1.065545,-1.6338,6.547481252245,23.08065,47.0799,234.39325,64.62865,1.3421466364615,2.17749441311834,0.203012395833333,0.201033625,0.2022334375,0.212005,0.310713,0.246572504533,0.2763970244165,0.667787712025,-1.6166314106215e-06,0.1513913538272,7.47250166666667,14.9416820833333,22.41175,4.97997e-06,4.98072,67.6819145833333,125.2116875,438.290958333333,22.5854354166667,88.4225291666667,0.947784041666667,1.95834,7.6,2.05421666666667,0.121997958333333,0.243954333333333,0.5226933125,2.48579375e-07,0.111353729166667,0
